Vendor Name,Address,City,State,Zip,Contact Name,Contact Number,Contact Email,Part Type Category,Payment Terms Offered,Shipping Notes:
Astech Inc,5512 Scotch Rd,Vassar,MI,48768,Jackie Magryta,800.327.8474,jackie@astechblast.com,"Wheel, Cabinet Liners",Net 30 Days,UPS
Axxiom Manufacturing Inc,11927 South State Hwy 6,Fresno,TX,77545,Terry Hummel x 5212,281.431.0581,salesgroup@axxiommfg.com,Air Abrasive Blasting ,Net 30 Days (not set up for Credit Card,Ship to Romac 1st
Pleatco LLC,11201 Ampere Court,Louisville,KY,40299,Dainel Hockersmith,205.417.6597,DHockersmith@pleatco.com ,Dust Collector Filters,Credit Card,UPS
"Ross Manufacturing Company, Inc.",9415 Highway 54 West,Brownsville,TN,38012,Patrick Craig,731.772.0567,patrick@rossmfgco.com,Elevator Pulleys & Hardware,Credit Card,UPS
Beltservice Corporation,4143 Rider Trail North,St. Louis ,MO,63045,Sherry Arbogast,314-715-3112, sales@beltservice.com.,Finger Seals ,Credit Card @ 2.5%,UPS
Bag House America,"2415 East Camelback Road, Ste. 700",Phoenix,AZ,85016,Vicky Waterhouse,888-261-3538,Sales@baghouseamerica.com ,Dust Collector Components,Credit Card,UPS
Air Filters Inc.,8282 Warren Road ,Houston,TX,77040,Noel Nichols,713.896.8901,noel.nichols@airfilterusa.com,Dust Collector After Filters,Credit Card,UPS
Faulkner Industrial ,294 Merrywood Ln,Sterrett,AL,35147,Clint Jewell,205.672.8550,clint@faulknerindustrial.com,Dust Collector Leak Dust,Credit Card,They Perfer Fedex?
Smith Equipment and Supply Company, 3825 Maine Ave,Lakeland,FL,33801,Amber Smith,863.665.4904,smith@smith-equipment.com,Waffer Brushes,Credit Card,LTL
McMaster Carr - ATL ,1901 Riverside Pkwy,Douglasville,GA,30135,Sales,404.346.7000,atl.sales@mcmaster.com,Miscellaneous Components (DC),Credit Card,UPS
"Nelson Stud Welding, Inc.",7900 West Ridge Road,Elyria,OH, 44036-2019,Chris Shannon,440.329.0400,Chris.Shannon@sbdinc.com,Cabinet Liner Studs,Credit Card,UPS
B&D Technologies,2010 Cobb International Blvd NW Suite E,Kennesaw,GA,30152-4364,John Thornton,770.792.2922,team4@bdindustrial.com,sew Eurodrives,Credit Card,UPS
"CIRCLE R INDUSTRIES, INC.",530 Curtis Ray Rd.,Midlothian,TX,76065,Jean Volini,(972) 775-1500,jean@circlerindustries.com,Hanger Bearings,Credit Card,UPS
Blast Services Inc,995 Cable Rd,Waleska,GA,30188,Joe Craig,706.570.7692,joe.craig@blastservicesinc.com,Elevator belt Assemblies,Credit Card,UPS
Bi-State Rubber,1611 Headland Dr. PO Box 608,Fenton,MO,63026,Eric Frankie,(636) 349-2388,efranke@bistaterubber.com ,Split Mill Belts,Net 30 Days,LTL
"Blastec, Inc.",4965 Atlanta Hwy,Alpharetta,GA,30004,Sales,800-241-3016,contact@blastec.com,Blastec Parts & Shot Savers,Net 30 Days,UPS
4B Components Ltd.,625 Erie Avenue,Morton,IL,61550,Tim Williams,309-698-5611,twilliams@go4b.com,Elevator Belt Splice Kits,Credit Card,UPS
U.S. Hose & Coupling,"3400 Town Point Drive, Suite 130",Kennesaw,GA,30144,Brandon Hughes,800-344-0150, bhughes@ushoseco.com,Abrasive Feed Hose,Credit Card,LTL
"Plan B Services & Solutions, LLC",25 N. Lawton Ave.,Tulsa,OK,74127,Amanda Cato,918-806-2327,accounting@planbtulsa.com,Goff Parts & Valves,Net 30 Days,UPS
